Genus,Metabolism,Silvatax_Genus,S_reduction,S_oxidation_dark,anoxygenic_photoautotrophy_S_oxidizing
Chloroflexus,Photo_S_Ox,Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Chloroflexaceae;Chloroflexus,0,0,1
Oscillochloris,Photo_S_Ox,Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Chloroflexaceae;Oscillochloris,0,0,1
Desulfurispira,S_Reduction,Bacteria;Chrysiogenetota;Chrysiogenetes;Chrysiogenales;Chrysiogenaceae;Desulfurispira,1,0,0
Desulfurispirillum,S_Reduction,Bacteria;Chrysiogenetota;Chrysiogenetes;Chrysiogenales;Chrysiogenaceae;Desulfurispirillum,1,0,0
Coprothermobacter,S_Reduction,Bacteria;Coprothermobacterota;Coprothermobacteria;Coprothermobacterales;Coprothermobacteraceae;Coprothermobacter,1,0,0
Deferribacter,S_Reduction,Bacteria;Deferribacterota;Deferribacteres;Deferribacterales;Deferribacteraceae;Deferribacter,1,0,0
Deferrisoma,S_Reduction,Bacteria;Deferrisomatota;Defferrisomatia;Defferrisomatales;Defferrisomataceae;Deferrisoma,1,0,0
Meiothermus,S_Oxidation,Bacteria;Deinococcota;Deinococci;Thermales;Thermaceae;Meiothermus,0,1,0
Oceanithermus,S_Reduction,Bacteria;Deinococcota;Deinococci;Thermales;Thermaceae;Oceanithermus,1,0,0
Rhabdothermus,S_Reduction,Bacteria;Deinococcota;Deinococci;Thermales;Thermaceae;Rhabdothermus,1,0,0
Thermus,S_Reduction,Bacteria;Deinococcota;Deinococci;Thermales;Thermaceae;Thermus,1,0,0
Desulfarculus,S_Reduction,Bacteria;Desulfobacterota;Desulfarculia;Desulfarculales;Desulfarculaceae;Desulfarculus,1,0,0
Desulfocarbo,S_Reduction,Bacteria;Desulfobacterota;Desulfarculia;Desulfarculales;Desulfarculaceae;Desulfocarbo,1,0,0
Dethiosulfatarculus,S_Reduction,Bacteria;Desulfobacterota;Desulfarculia;Desulfarculales;Desulfarculaceae;Dethiosulfatarculus,1,0,0
uncultured,S_Reduction,Bacteria;Desulfobacterota;Desulfarculia;Desulfarculales;Desulfarculaceae;uncultured,1,0,0
Desulfobacca,S_Reduction,Bacteria;Desulfobacterota;Desulfobaccia;Desulfobaccales;Desulfobaccaceae;Desulfobacca,1,0,0
Desulfatiglans,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfatiglandales;Desulfatiglandaceae;Desulfatiglans,1,0,0
Candidatus_Desulfamplus,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Candidatus_Desulfamplus,1,0,0
Desulfobacter,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfobacter,1,0,0
Desulfobacteraceae_ge,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfobacteraceae_ge,1,0,0
Desulfobacterium,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfobacterium,1,0,0
Desulfobacula,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfobacula,1,0,0
Desulfobotulus,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfobotulus,1,0,0
Desulfocella,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfocella,1,0,0
Desulfoconvexum,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfoconvexum,1,0,0
Desulfotignum,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfotignum,1,0,0
uncultured,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;uncultured,1,0,0
Desulfatiferula,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacterales_fa;Desulfatiferula,1,0,0
Desulfobacterales_ge,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacterales_fa;Desulfobacterales_ge,1,0,0
Desulfococcus,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfococcaceae;Desulfococcus,1,0,0
Desulfonema,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfococcaceae;Desulfonema,1,0,0
uncultured,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfococcaceae;uncultured,1,0,0
Desulfofaba,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfolunaceae;Desulfofaba,1,0,0
Desulfofrigus,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfolunaceae;Desulfofrigus,1,0,0
Desulfoluna,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfolunaceae;Desulfoluna,1,0,0
Desulfolunaceae_ge,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfolunaceae;Desulfolunaceae_ge,1,0,0
uncultured,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfolunaceae;uncultured,1,0,0
Desulforegula,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulforegulaceae;Desulforegula,1,0,0
Candidatus_Magnetananas,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Candidatus_Magnetananas,1,0,0
Candidatus_Magnetoglobus,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Candidatus_Magnetoglobus,1,0,0
Candidatus_Magnetomorum,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Candidatus_Magnetomorum,1,0,0
Desulfatibacillum,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Desulfatibacillum,1,0,0
Desulfatirhabdium,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Desulfatirhabdium,1,0,0
Desulfatitalea,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Desulfatitalea,1,0,0
Desulfonatronobacter,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Desulfonatronobacter,1,0,0
Desulfosalsimonas,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Desulfosalsimonas,1,0,0
Desulfosarcina,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Desulfosarcina,1,0,0
Desulfosarcinaceae_ge,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Desulfosarcinaceae_ge,1,0,0
Incertae_Sedis,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Incertae_Sedis,1,0,0
LCP-80,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;LCP-80,1,0,0
SEEP-SRB1,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;SEEP-SRB1,1,0,0
Sva0081_sediment_group,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Sva0081_sediment_group,1,0,0
uncultured,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;uncultured,1,0,0
uncultured_ge,S_Reduction,Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;uncultured;uncultured_ge,1,0,0
Candidatus_Electronema,S_Reduction,Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfobulbaceae;Candidatus_Electronema,1,0,0
Candidatus_Electrothrix,S_Reduction,Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfobulbaceae;Candidatus_Electrothrix,1,0,0
Desulfobulbaceae_ge,S_Reduction,Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfobulbaceae;Desulfobulbaceae_ge,1,0,0
Desulfobulbus,S_Reduction,Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfobulbaceae;Desulfobulbus,1,0,0
uncultured,S_Reduction,Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfobulbaceae;uncultured,1,0,0
Desulfocapsa,S_Reduction,Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;Desulfocapsa,1,0,0
Desulfocapsaceae_ge,S_Reduction,Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;Desulfocapsaceae_ge,1,0,0
Desulfofustis,S_Reduction,Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;Desulfofustis,1,0,0
Desulfopila,S_Reduction,Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;Desulfopila,1,0,0
Desulfoprunum,S_Reduction,Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;Desulfoprunum,1,0,0
Desulforhopalus,S_Reduction,Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;Desulforhopalus,1,0,0
Desulfotalea,S_Reduction,Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;Desulfotalea,1,0,0
SEEP-SRB4,S_Reduction,Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;SEEP-SRB4,1,0,0
uncultured,S_Reduction,Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;uncultured,1,0,0
Desulfurivibrio,S_Reduction,Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfurivibrionaceae;Desulfurivibrio,1,0,0
MSBL7,S_Reduction,Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfurivibrionaceae;MSBL7,1,0,0
uncultured,S_Reduction,Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfurivibrionaceae;uncultured,1,0,0
uncultured_ge,S_Reduction,Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;uncultured;uncultured_ge,1,0,0
Candidatus_Desulfofervidus,S_Reduction,Bacteria;Desulfobacterota;Desulfofervidia;Desulfofervidales;Desulfofervidaceae;Candidatus_Desulfofervidus,1,0,0
Desulfomonile,S_Reduction,Bacteria;Desulfobacterota;Desulfomonilia;Desulfomonilales;Desulfomonilaceae;Desulfomonile,1,0,0
Desulfohalobium,S_Reduction,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfohalobiaceae;Desulfohalobium,1,0,0
Desulfovermiculus,S_Reduction,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfohalobiaceae;Desulfovermiculus,1,0,0
Desulfomicrobium,S_Reduction,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfomicrobiaceae;Desulfomicrobium,1,0,0
Desulfonatronum,S_Reduction,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfonatronaceae;Desulfonatronum,1,0,0
Desulfonatronospira,S_Reduction,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfonatronovibrionaceae;Desulfonatronospira,1,0,0
Desulfonatronovibrio,S_Reduction,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfonatronovibrionaceae;Desulfonatronovibrio,1,0,0
Desulfonauticus,S_Reduction,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfonauticaceae;Desulfonauticus,1,0,0
Desulfothermus,S_Reduction,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfonauticaceae;Desulfothermus,1,0,0
Desulfoplanes,S_Reduction,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfoplanaceae;Desulfoplanes,1,0,0
Bilophila,S_Reduction,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Bilophila,1,0,0
Desulfocurvus,S_Reduction,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfocurvus,1,0,0
Desulfovibrio,S_Reduction,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio,1,0,0
Desulfovibrionaceae_ge,S_Reduction,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrionaceae_ge,1,0,0
Halodesulfovibrio,S_Reduction,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Halodesulfovibrio,1,0,0
Lawsonia,S_Reduction,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Lawsonia,1,0,0
Mailhella,S_Reduction,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Mailhella,1,0,0
uncultured,S_Reduction,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;uncultured,1,0,0
Bradymonadaceae_ge,S_Reduction,Bacteria;Desulfobacterota;Desulfuromonadia;Bradymonadales;Bradymonadaceae;Bradymonadaceae_ge,1,0,0
Bradymonas,S_Reduction,Bacteria;Desulfobacterota;Desulfuromonadia;Bradymonadales;Bradymonadaceae;Bradymonas,1,0,0
Bradymonadales_ge,S_Reduction,Bacteria;Desulfobacterota;Desulfuromonadia;Bradymonadales;Bradymonadales_fa;Bradymonadales_ge,1,0,0
C8S-102_ge,S_Reduction,Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;C8S-102;C8S-102_ge,1,0,0
Candidatus_Deferrimonas,S_Reduction,Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Desulfuromonadaceae;Candidatus_Deferrimonas,1,0,0
Desulfuromonadaceae_ge,S_Reduction,Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonadaceae_ge,1,0,0
Desulfuromonas,S_Reduction,Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas,1,0,0
Trichloromonas,S_Reduction,Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Desulfuromonadaceae;Trichloromonas,1,0,0
Desulfuromonadales_ge,S_Reduction,Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Desulfuromonadales_fa;Desulfuromonadales_ge,1,0,0
Geoalkalibacter,S_Reduction,Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Geoalkalibacteraceae;Geoalkalibacter,1,0,0
Desulfuromusa,S_Reduction,Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Geopsychrobacteraceae;Desulfuromusa,1,0,0
Geopsychrobacter,S_Reduction,Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Geopsychrobacteraceae;Geopsychrobacter,1,0,0
Malonomonas,S_Reduction,Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Geopsychrobacteraceae;Malonomonas,1,0,0
Pelobacter,S_Reduction,Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Geopsychrobacteraceae;Pelobacter,1,0,0
Geothermobacter,S_Reduction,Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Geothermobacteraceae;Geothermobacter,1,0,0
MA-28-I98C_ge,S_Reduction,Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;MA-28-I98C;MA-28-I98C_ge,1,0,0
Sva1033_ge,S_Reduction,Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Sva1033;Sva1033_ge,1,0,0
Syntrophotalea,S_Reduction,Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Syntrophotaleaceae;Syntrophotalea,1,0,0
uncultured_ge,S_Reduction,Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;uncultured;uncultured_ge,1,0,0
Desulfuromonadia_ge,S_Reduction,Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadia_or;Desulfuromonadia_fa;Desulfuromonadia_ge,1,0,0
Citrifermentans,S_Reduction,Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Citrifermentans,1,0,0
Geobacter,S_Reduction,Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter,1,0,0
Geobacteraceae_ge,S_Reduction,Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacteraceae_ge,1,0,0
Geotalea,S_Reduction,Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geotalea,1,0,0
Trichlorobacter,S_Reduction,Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Trichlorobacter,1,0,0
uncultured,S_Reduction,Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;uncultured,1,0,0
Pseudopelobacter,S_Reduction,Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Pseudopelobacteraceae;Pseudopelobacter,1,0,0
PB19_ge,S_Reduction,Bacteria;Desulfobacterota;Desulfuromonadia;PB19;PB19_fa;PB19_ge,1,0,0
Dissulfuribacter,S_Reduction,Bacteria;Desulfobacterota;Dissulfuribacteria;Dissulfuribacterales;Dissulfuribacteraceae;Dissulfuribacter,1,0,0
Dissulfuribacteraceae_ge,S_Reduction,Bacteria;Desulfobacterota;Dissulfuribacteria;Dissulfuribacterales;Dissulfuribacteraceae;Dissulfuribacteraceae_ge,1,0,0
Dissulfurimicrobium,S_Reduction,Bacteria;Desulfobacterota;Dissulfuribacteria;Dissulfuribacterales;Dissulfuribacteraceae;Dissulfurimicrobium,1,0,0
Dissulfurirhabdus,S_Reduction,Bacteria;Desulfobacterota;Dissulfuribacteria;Dissulfuribacterales;Dissulfuribacteraceae;Dissulfurirhabdus,1,0,0
SEEP-SRB2,S_Reduction,Bacteria;Desulfobacterota;Dissulfuribacteria;Dissulfuribacterales;Dissulfuribacteraceae;SEEP-SRB2,1,0,0
uncultured,S_Reduction,Bacteria;Desulfobacterota;Dissulfuribacteria;Dissulfuribacterales;Dissulfuribacteraceae;uncultured,1,0,0
Incertae_Sedis_ge,S_Reduction,Bacteria;Desulfobacterota;Incertae_Sedis;Incertae_Sedis_or;Incertae_Sedis_fa;Incertae_Sedis_ge,1,0,0
Smithella,S_Reduction,Bacteria;Desulfobacterota;Syntrophia;Syntrophales;Smithellaceae;Smithella,1,0,0
Syntrophus,S_Reduction,Bacteria;Desulfobacterota;Syntrophia;Syntrophales;Syntrophaceae;Syntrophus,1,0,0
Syntrophales_ge,S_Reduction,Bacteria;Desulfobacterota;Syntrophia;Syntrophales;Syntrophales_fa;Syntrophales_ge,1,0,0
uncultured_ge,S_Reduction,Bacteria;Desulfobacterota;Syntrophia;Syntrophales;uncultured;uncultured_ge,1,0,0
Desulfacinum,S_Reduction,Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Desulfacinum,1,0,0
Desulfoglaeba,S_Reduction,Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Desulfoglaeba,1,0,0
Desulforhabdus,S_Reduction,Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Desulforhabdus,1,0,0
Desulfovirga,S_Reduction,Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Desulfovirga,1,0,0
Syntrophobacter,S_Reduction,Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter,1,0,0
Syntrophobacteraceae_ge,S_Reduction,Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacteraceae_ge,1,0,0
uncultured,S_Reduction,Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Syntrophobacteraceae;uncultured,1,0,0
Thermodesulforhabdus,S_Reduction,Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;Thermodesulforhabdaceae;Thermodesulforhabdus,1,0,0
uncultured_ge,S_Reduction,Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;uncultured;uncultured_ge,1,0,0
Syntrophorhabdus,S_Reduction,Bacteria;Desulfobacterota;Syntrophorhabdia;Syntrophorhabdales;Syntrophorhabdaceae;Syntrophorhabdus,1,0,0
Caldimicrobium,S_Reduction,Bacteria;Desulfobacterota;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Caldimicrobium,1,0,0
Geothermobacterium,S_Reduction,Bacteria;Desulfobacterota;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Geothermobacterium,1,0,0
Thermodesulfatator,S_Reduction,Bacteria;Desulfobacterota;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Thermodesulfatator,1,0,0
Thermodesulfobacterium,S_Reduction,Bacteria;Desulfobacterota;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Thermodesulfobacterium,1,0,0
Thermosulfurimonas,S_Reduction,Bacteria;Desulfobacterota;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Thermosulfurimonas,1,0,0
