Genus,Metabolism,Silvatax,methanotrophy,acetoclastic_methanogenesis,methanogenesis_by_disproportionation_of_methyl_groups,methanogenesis_using_formate,methanogenesis_by_CO2_reduction_with_H2,methanogenesis_by_reduction_of_methyl_compounds_with_H2,hydrogenotrophic_methanogenesis,methanogenesis,methanol_oxidation,methylotrophy,CH4_cyclicers
Methanococcoides,Methanogen,Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanococcoides,0,0,0,0,0,0,0,1,1,0,1
Methanococcus,Methanogen,Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus,0,0,0,1,0,0,0,1,0,0,1
Methanocorpusculum,Methanogen,Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanocorpusculaceae;Methanocorpusculum,0,0,0,0,1,0,1,1,0,0,1
Methanoculleus,Methanogen,Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus,0,0,0,1,1,0,1,1,0,0,1
Methanofollis,Methanogen,Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanofollis,0,0,0,1,1,0,1,1,0,0,1
Methanolacinia,Methanogen,Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanolacinia,0,0,0,0,1,0,1,1,0,0,1
Methanolinea,Methanogen,Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanolinea,0,0,0,1,1,0,1,1,0,0,1
Methanomassiliicoccus,Methanogen,Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus,0,0,0,0,0,1,1,1,0,1,1
Methanomicrobium,Methanogen,Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanomicrobium,0,0,0,1,0,0,0,1,0,0,1
Methanoplanus,Methanogen,Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoplanus,0,0,0,1,1,0,1,1,0,0,1
Methanoregula,Methanogen,Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanoregula,0,0,0,0,1,0,1,1,0,0,1
Methanosarcina,Methanogen,Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanosarcina,0,1,0,0,1,0,1,1,0,0,1
Methanosphaera,Methanogen,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera,0,0,0,0,0,1,1,1,0,0,1
Methanospirillum,Methanogen,Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanospirillaceae;Methanospirillum,0,0,0,1,1,0,1,1,0,0,1
Methanothermobacter,Methanogen,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermobacteriaceae;Methanothermobacter,0,0,0,0,1,0,1,1,0,0,1
Methanothermococcus,Methanogen,Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanothermococcus,0,0,0,1,0,0,1,1,0,0,1
Methanothermus,Methanogen,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermaceae;Methanothermus,0,0,0,0,1,0,1,1,0,0,1
Methylarcula,Other C-1 cycler,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Methylarcula,0,0,0,0,0,0,0,0,0,1,1
Methylibium,Other C-1 cycler,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Methylibium,0,0,0,0,0,0,0,0,1,0,1
Methylobacillus,Other C-1 cycler,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae;Methylobacillus,0,0,0,0,0,0,0,0,1,0,1
Methylobacter,Methanotroph,Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Methylobacter,1,0,0,0,0,0,0,0,0,0,1
Methylobacterium-Methylorubrum,Other C-1 cycler,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium-Methylorubrum,0,0,0,0,0,0,0,0,1,1,1
Methylocaldum,Methanotroph,Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylocaldum,1,0,0,0,0,0,0,0,0,0,1
Methylocapsa,Methanotroph,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylocapsa,1,0,0,0,0,0,0,0,0,1,1
Methylocella,Methanotroph,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylocella,1,0,0,0,0,0,0,0,0,0,1
Methylococcus,Methanotroph,Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylococcus,1,0,0,0,0,0,0,0,0,0,1
Methylocystis,Methanotroph,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylocystis,1,0,0,0,0,0,0,0,0,0,1
Methyloferula,Methanotroph,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methyloferula,1,0,0,0,0,0,0,0,0,0,1
Methyloglobulus,Methanotroph,Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Methyloglobulus,1,0,0,0,0,0,0,0,1,0,1
Methylohalobius,Methanotroph,Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylohalobiaceae;Methylohalobius,1,0,0,0,0,0,0,0,0,0,1
Methylohalomonas,Other C-1 cycler,Bacteria;Proteobacteria;Gammaproteobacteria;Granulosicoccales;Granulosicoccales_fa;Methylohalomonas,0,0,0,0,0,0,0,0,1,0,1
