,taxa,colors
186,Brocadiae,#FF008A
187,Brocadiales,#FF007A
188,Bryobacterales,#FF006B
189,BSLdp215,#FF005C
190,Burkholderiales,#FF004C
191,c5LKS83,#FF003D
192,c5LKS83_or,#FF002E
193,C0119,#FF001F
194,C10-SB1A,#FF000F
195,C86,#45cc65
196,Caedibacterales,#8e3ebc
197,Caenarcaniphilales,#62ba3f
198,Caldatribacteriales,#9164dc
199,Caldatribacteriia,#a75355
200,Caldatribacteriota,#91ba33
201,Calderihabitantales,#cd74e5
202,Caldiarchaeales,#33a150
203,Caldicellulosiruptorales,#b8319c
204,Caldicoprobacterales,#4dcc90
205,Caldilineales,#e75dc1
206,Caldisericales,#538d2a
207,Caldisericia,#586cd8
208,Caldisericota,#dca831
209,Calditrichaeota,#9049a2
210,Calditrichales,#b2b33a
211,Calditrichia,#d57ccb
212,Calditrichota,#80bc6c
213,Calescamantes,#e54486
214,Calescibacteriales,#4fcfc3
215,Calescibacteriia,#df4b40
216,Campylobacterales,#4db9df
217,Campylobacteria,#de632b
218,Campylobacterota,#5e91d3
219,Candidatus_Abawacabacteria,#d68330
220,Candidatus_Adlerbacteria,#4363a5
221,Candidatus_Amesbacteria,#9c8026
222,Candidatus_Azambacteria,#ae99e4
223,Candidatus_Beckwithbacteria,#60751c
224,Candidatus_Brennerbacteria,#7961a8
225,Candidatus_Buchananbacteria,#3d864a
226,Candidatus_Campbellbacteria,#af3a77
227,Candidatus_Chisholmbacteria,#66b78b
228,Candidatus_Collierbacteria,#c3364e
229,Candidatus_Colwellbacteria,#2ba198
230,Candidatus_Curtissbacteria,#aa4b28
231,Candidatus_Daviesbacteria,#35896b
232,Candidatus_Doudnabacteria,#e2798a
233,Candidatus_Falkowbacteria,#1a6447
234,Candidatus_Giovannonibacteria,#e390bf
235,Candidatus_Gottesmanbacteria,#306a3c
236,Candidatus_Jacksonbacteria,#a56395
237,Candidatus_Jorgensenbacteria,#4d6d30
238,Candidatus_Kaiserbacteria,#924869
239,Candidatus_Kerfeldbacteria,#aab56e
240,Candidatus_Komeilibacteria,#e38f6b
241,Candidatus_Kuenenbacteria,#666020
242,Candidatus_Levybacteria,#d1a965
243,Candidatus_Liptonbacteria,#966433
244,Candidatus_Lloydbacteria,#868949
245,Candidatus_Magasanikbacteria,#069668
246,Candidatus_Moranbacteria,#c7eea8
247,Candidatus_Nealsonbacteria,#5d99aa
248,Candidatus_Nomurabacteria,#81f4fe
249,Candidatus_Pacebacteria,#788ce0
250,Candidatus_Peregrinibacteria,#955ccd
251,Candidatus_Peribacteria,#f75ef0
252,Candidatus_Portnoybacteria,#b95581
253,Candidatus_Roizmanbacteria,#f89ade
254,Candidatus_Ryanbacteria,#dad2de
255,Candidatus_Shapirobacteria,#7efc9d
256,Candidatus_Spechtbacteria,#4ba40b
257,Candidatus_Staskawiczbacteria,#6f7d43
258,Candidatus_Terrybacteria,#cfdf34
259,Candidatus_Uhrbacteria,#e13224
260,Candidatus_Vogelbacteria,#faa566
261,Candidatus_Woesebacteria,#bb5c2a
262,Candidatus_Wolfebacteria,#88fe0e
263,Candidatus_Woykebacteria,#e21c7a
264,Candidatus_Yanofskybacteria,#ab8791
265,Candidatus_Yonathbacteria,#399283
266,Candidatus_Zambryskibacteria,#3eeaef
267,Carboxydocellales,#154e56
268,Carboxydothermales,#40e18c
269,Cardiobacteriales,#39970e
270,Catenulisporales,#b8e27d
271,Caulobacterales,#683c00
272,CCD24,#ebb9c7
273,CCM11a,#f4327e
274,CCM19a,#8d102b
275,Cellvibrionales,#f76015
276,CG1-02-42-13,#bf711e
277,CG2-30-50-142,#eac328
278,CH2b56,#1f3e9e
279,CHAB-XI-27,#7b7ec0
280,Chitinivibrionales,#aedbf0
281,Chitinivibrionia,#8d30ba
282,Chitinophagales,#d179f8
283,Chlamydiae,#3f16f9
284,Chlamydiales,#fa2beb
285,Chloracidobacteriales,#5a3e4f
286,Chlorobia,#c7628e
287,Chlorobiales,#50e316
288,Chloroflexales,#3f4c08
289,Chloroflexi,#938073
290,Chloroflexi_cl,#FF0000
291,Chloroflexi_or,#FF0F00
292,Chloroflexi_unclassified,#FF1F00
293,Chloroflexia,#FF2E00
294,Chloroflexia_unclassified,#FF3D00
295,Chloroplast,#FF4D00
296,Christensenellales,#FF5C00
297,Chromatiales,#FF6B00
298,Chrysiogenales,#FF7A00
299,Chrysiogenetes,#FF8A00
300,Chrysiogenetota,#FF9900
301,Chthoniobacterales,#FFA800
302,Chthonomonadales,#FFB800
303,Chthonomonadetes,#FFC700
304,CK-2C2-2,#FFD600
305,CK-2C2-2_cl,#FFE500
306,CK-2C2-2_or,#FFF500
307,Cloacimonadales,#FAFF00
308,Cloacimonadia,#EBFF00
309,Cloacimonadota,#DBFF00
310,Clostridia,#CCFF00
311,Clostridia_Incertae_Sedis,#BDFF00
312,Clostridia_or,#ADFF00
313,Clostridia_UCG-014,#9EFF00
314,Clostridia_vadinBB60_group,#8FFF00
315,Clostridiales,#80FF00
316,Competibacterales,#70FF00
317,Coprothermobacterales,#61FF00
318,Coprothermobacteria,#52FF00
319,Coprothermobacterota,#42FF00
320,Coriobacteriales,#33FF00
321,Coriobacteriia,#24FF00
322,Corynebacteriales,#14FF00
323,Coxiellales,#05FF00
324,CPR2,#00FF0A
325,CPR2_or,#00FF1A
326,Crenarchaeota,#00FF29
327,Crenarchaeota_unclassified,#00FF38
328,Cyanobacteria,#00FF47
329,Cyanobacteria_unclassified,#00FF57
330,Cyanobacteriales,#00FF66
331,Cyanobacteriia,#00FF75
332,Cyanobacteriia_or,#00FF85
333,Cytophagales,#00FF94
334,d142,#00FFA3
335,d142_or,#00FFB3
336,D8A-2,#00FFC2
337,D8A-2_or,#00FFD1
338,D90,#00FFE0
339,Dadabacteria,#00FFF0
340,Dadabacteriales,#00FFFF
341,Dadabacteriia,#00F0FF
342,Deep_Sea_Euryarchaeotic_Group(DSEG),#00E0FF
343,Deep_Sea_Euryarchaeotic_Group(DSEG)_or,#00D1FF
344,Deferribacterales,#00C2FF
345,Deferribacteres,#00B2FF
346,Deferribacterota,#00A3FF
347,Deferrisomatota,#0094FF
348,Defferrisomatales,#0085FF
349,Defferrisomatia,#0075FF
350,Defluviicoccales,#0066FF
351,Dehalococcoidales,#0057FF
352,Dehalococcoidia,#0047FF
353,Dehalococcoidia_or,#0038FF
354,Dehalococcoidia_unclassified,#0029FF
355,Deinococcales,#0019FF
356,Deinococci,#000AFF
357,Deinococci_unclassified,#0500FF
358,Deinococcota,#1400FF
359,Deinococcus-Thermus,#2400FF
360,Deltaproteobacteria,#3300FF
361,Deltaproteobacteria_Incertae_Sedis,#4200FF
362,Deltaproteobacteria_unclassified,#5200FF
363,Dependentiae,#6100FF
364,Desantisbacteria,#7000FF
365,Desantisbacteria_cl,#8000FF
366,Desantisbacteria_or,#8F00FF
367,Desulfarculales,#9E00FF
368,Desulfarculia,#AD00FF
369,Desulfatiglandales,#BD00FF
370,Desulfitibacterales,#CC00FF
371,Desulfitobacteriales,#DB00FF
372,Desulfitobacteriia,#EB00FF
373,Desulfobaccales,#FA00FF
374,Desulfobaccia,#FF00F5
375,Desulfobacterales,#FF00E6
376,Desulfobacteria,#FF00D6
377,Desulfobacterota,#FF00C7
378,Desulfobacterota_unclassified,#FF00B8
379,Desulfobulbales,#FF00A8
380,Desulfobulbia,#FF0099
381,Desulfofervidales,#FF008A
382,Desulfofervidia,#FF007A
383,Desulfomonilales,#FF006B
384,Desulfomonilia,#FF005C
385,Desulfotomaculales,#FF004C
386,Desulfotomaculia,#FF003D
387,Desulfovibrionales,#FF002E
388,Desulfovibrionia,#FF001F
389,Desulfurellales,#FF000F
390,Desulfurellia,#45cc65
391,Desulfuribacillales,#8e3ebc
392,Desulfurobacteriales,#62ba3f
393,Desulfurobacteriia,#9164dc
394,Desulfurococcales,#a75355
395,Desulfuromonadales,#91ba33
396,Desulfuromonadia,#cd74e5
397,Desulfuromonadia_or,#33a150
398,Dethiobacterales,#b8319c
399,Dethiobacteria,#4dcc90
400,DG-20,#e75dc1
401,DG-56,#538d2a
402,DG-56_or,#586cd8
403,Diapherotrites,#dca831
404,Dictyoglomales,#9049a2
405,Dictyoglomia,#b2b33a
406,Dictyoglomota,#d57ccb
407,Diplorickettsiales,#80bc6c
408,Dissulfuribacterales,#e54486
409,Dissulfuribacteria,#4fcfc3
410,Dojkabacteria,#df4b40
411,Dojkabacteria_or,#4db9df
412,Dongiales,#de632b
413,DS-100,#5e91d3
414,DscP2,#d68330
415,Dstr-E11,#4363a5
416,DTB120,#9c8026
417,DTB120_cl,#ae99e4
418,DTB120_or,#60751c
419,DTU014,#7961a8
420,EC3,#3d864a
421,Ectothiorhodospirales,#af3a77
422,Edwardsbacteria,#66b78b
423,Edwardsbacteria_cl,#c3364e
424,Edwardsbacteria_or,#2ba198
425,Elev-16S-1166,#aa4b28
426,Elev-1554,#35896b
427,Elsterales,#e2798a
428,Elusimicrobia,#1a6447
429,Elusimicrobia_unclassified,#e390bf
430,Elusimicrobiales,#306a3c
431,Elusimicrobiota,#a56395
432,Elusimicrobiota_cl,#4d6d30
433,Elusimicrobiota_or,#924869
434,Elusimicrobiota_unclassified,#aab56e
435,Emcibacterales,#e38f6b
436,Endomicrobia,#666020
437,Endomicrobiales,#d1a965
438,Enterobacterales,#966433
439,Enterobacteriales,#868949
440,Entomoplasmatales,#069668
441,Entotheonellaeota,#c7eea8
442,Entotheonellales,#5d99aa
443,Entotheonellia,#81f4fe
444,EPR3968-O8a-Bc78,#788ce0
445,Epsilonbacteraeota,#955ccd
446,ER-E4-17,#f75ef0
447,Erysipelotrichales,#b95581
448,eub62A3,#f89ade
449,Eubacteriales,#dad2de
450,Eukaryota_unclassified,#7efc9d
451,Euryarchaeota,#4ba40b
452,Euryarchaeota_unclassified,#6f7d43
453,Eurycoccales,#cfdf34
454,Euzebyales,#e13224
455,EV818SWSAP88,#faa566
456,Exiguobacterales,#bb5c2a
457,F9P41300-M23,#88fe0e
458,FBP,#e21c7a
459,FBP_cl,#ab8791
460,FBP_or,#399283
461,FCPU426,#3eeaef
462,FCPU426_cl,#154e56
463,FCPU426_or,#40e18c
464,Fermentibacterales,#39970e
465,Fermentibacteria,#b8e27d
466,Fermentibacterota,#683c00
467,Ferrovibrionales,#ebb9c7
468,Fervidibacteria,#f4327e
469,Fervidibacteria_cl,#8d102b
470,Fervidibacteria_or,#f76015
471,Fervidicoccales,#bf711e
472,FFCH5909,#eac328
473,FFCH5909_or,#1f3e9e
474,FFCH16263,#7b7ec0
475,FFCH16767,#aedbf0
476,FGL7S,#8d30ba
477,Fibrobacterales,#d179f8
478,Fibrobacteres,#3f16f9
479,Fibrobacteria,#fa2beb
480,Fibrobacterota,#5a3e4f
481,Fimbriimonadales,#c7628e
482,Fimbriimonadia,#50e316
483,Firestonebacteria,#3f4c08
484,Firestonebacteria_cl,#938073
485,Firestonebacteria_or,#FF0000
486,Firmicutes,#FF0F00
487,Firmicutes_unclassified,#FF1F00
488,Flavobacteriales,#FF2E00
489,Francisellales,#FF3D00
490,Frankiales,#FF4D00
491,FS117-23B-02,#FF5C00
492,FS118-23B-02,#FF6B00
493,Fusobacteria,#FF7A00
494,Fusobacteriales,#FF8A00
495,Fusobacteriia,#FF9900
496,Fusobacteriota,#FFA800
497,FW22,#FFB800
498,FW113,#FFC700
499,FW113_cl,#FFD600
500,FW113_or,#FFE500
501,Ga0077536,#FFF500
502,Gaiellales,#FAFF00
503,GAL15,#EBFF00
504,GAL15_cl,#DBFF00
505,GAL15_or,#CCFF00
506,Gammaproteobacteria,#BDFF00
507,Gammaproteobacteria_Incertae_Sedis,#ADFF00
508,Gammaproteobacteria_or,#9EFF00
509,Gammaproteobacteria_unclassified,#8FFF00
510,Gastranaerophilales,#80FF00
511,Geitlerinematales,#70FF00
512,Gemmatales,#61FF00
513,Gemmatimonadales,#52FF00
514,Gemmatimonadetes,#42FF00
515,Gemmatimonadota,#33FF00
516,Gemmatimonadota_unclassified,#24FF00
517,Geoarchaeales,#14FF00
518,Geobacterales,#05FF00
519,GIF3,#00FF0A
520,GIF9,#00FF1A
521,Gitt-GS-136,#00FF29
522,Gitt-GS-136_or,#00FF38
523,Gloeobacterales,#00FF47
524,Glycomycetales,#00FF57
525,GN01,#00FF66
526,GN01_cl,#00FF75
527,GN01_or,#00FF85
528,GOUTB8,#00FF94
529,Gracilibacteria,#00FFA3
530,Gracilibacteria_or,#00FFB3
531,Gracilibacteria_unclassified,#00FFC2
532,Granulosicoccales,#00FFD1
533,Group_1.1c,#00FFE0
534,Group_1.1c_or,#00FFF0
535,GW2011-GWA2-46-7,#00FFFF
536,GWA2-38-13b,#00F0FF
537,GWB1-42-6,#00E0FF
538,H3.93,#00D1FF
539,Hadarchaeia,#00C2FF
540,Hadarchaeia_or,#00B2FF
541,Hadarchaeota,#00A3FF
542,Hadesarchaeaeota,#0094FF
543,Hadesarchaeaeota_cl,#0085FF
544,Hadesarchaeaeota_or,#0075FF
545,Halanaerobiaeota,#0066FF
546,Halanaerobiales,#0057FF
547,Halanaerobiia,#0047FF
548,Haliangiales,#0038FF
549,Halobacterales,#0029FF
550,Halobacteria,#0019FF
551,Halobacteriales,#000AFF
552,Halobacterota,#0500FF
553,Haloplasmatales,#1400FF
554,Halothiobacillales,#2400FF
555,HDB-SIOI1093,#3300FF
556,HDB-SIOI1093_or,#4200FF
557,Heimdallarchaeia,#5200FF
558,Heimdallarchaeia_or,#6100FF
559,HgCo23,#7000FF
560,HglApr721,#8000FF
561,HOC36,#8F00FF
562,Holophagae,#9E00FF
563,Holophagales,#AD00FF
564,Holosporales,#BD00FF
565,Hydrogenedentes,#CC00FF
566,Hydrogenedentia,#DB00FF
567,Hydrogenedentiales,#EB00FF
568,Hydrogenothermales,#FA00FF
569,Hydrothermae,#FF00F5
570,Hydrothermae_cl,#FF00E6
571,Hydrothermae_or,#FF00D6
572,Hydrothermarchaeales,#FF00C7
573,Hydrothermarchaeia,#FF00B8
574,Hydrothermarchaeota,#FF00A8
575,Hydrothermarchaeota_cl,#FF0099
576,Hydrothermarchaeota_or,#FF008A
577,I3A,#FF007A
578,Iainarchaeales,#FF006B
579,Iainarchaeia,#FF005C
580,Iainarchaeota,#FF004C
581,Ignavibacteria,#FF003D
582,Ignavibacteriales,#FF002E
583,IMCC26256,#FF001F
584,Immundisolibacterales,#FF000F
585,Incertae_Sedis,#45cc65
586,Incertae_Sedis_or,#8e3ebc
587,Isosphaerales,#62ba3f
588,Izemoplasmatales,#9164dc
589,JdFR-43,#a75355
590,JdFR-54,#91ba33
591,JG30-KF-CM66,#cd74e5
592,JG30-KF-CM66_or,#33a150
593,JG36-GS-52,#b8319c
594,JG36-TzT-191,#4dcc90
595,JGI_0000069-P22,#e75dc1
596,JS1,#538d2a
597,JS1_or,#586cd8
598,JTB23,#dca831
599,Kallotenuales,#9049a2
600,Kapabacteria,#b2b33a
601,Kapabacteriales,#d57ccb
602,Kazania,#80bc6c
603,Kazania_or,#e54486
604,KD4-96,#4fcfc3
605,KD4-96_or,#df4b40
606,KF-JG30-C25,#4db9df
607,KI89A_clade,#de632b
608,Kiloniellales,#5e91d3
609,Kineosporiales,#d68330
610,Kiritimatiellae,#4363a5
611,Kiritimatiellaeota,#9c8026
612,Kiritimatiellales,#ae99e4
613,KIST-JJY010,#60751c
614,Korarchaeales,#7961a8
615,Korarchaeia,#3d864a
616,Korarchaeota,#af3a77
617,Kordiimonadales,#66b78b
618,Kosmotogales,#c3364e
619,Kryptonia,#2ba198
620,Kryptoniales,#aa4b28
621,Ktedonobacterales,#35896b
622,Ktedonobacteria,#e2798a
623,Ktedonobacteria_or,#1a6447
624,Kyrpidiales,#e390bf
625,KZNMV-5-B42,#306a3c
626,Lachnospirales,#a56395
627,Lactobacillales,#4d6d30
628,Latescibacterales,#924869
629,Latescibacteria,#aab56e
630,Latescibacteria_cl,#e38f6b
631,Latescibacteria_or,#666020
632,Latescibacterota,#d1a965
633,Latescibacterota_cl,#966433
634,Latescibacterota_or,#868949
635,LCP-89,#069668
636,LCP-89_cl,#c7eea8
637,LCP-89_or,#5d99aa
638,LD1-PA32,#81f4fe
639,LD1-PB3,#788ce0
640,Legionellales,#955ccd
641,Lentisphaerae,#f75ef0
642,Lentisphaerae_unclassified,#b95581
643,Lentisphaerales,#f89ade
644,Lentisphaeria,#dad2de
645,Leptolyngbyales,#7efc9d
646,Leptospirae,#4ba40b
647,Leptospirales,#6f7d43
648,Leptospirillales,#cfdf34
649,Leptospirillia,#e13224
650,Limnochordales,#faa566
651,Limnochordia,#bb5c2a
652,Limnochordia_or,#88fe0e
653,Limnotrichales,#e21c7a
654,Lineage_IIa,#ab8791
655,Lineage_IIa_or,#399283
656,Lineage_IIb,#3eeaef
657,Lineage_IIb_or,#154e56
658,Lineage_IIc,#40e18c
659,Lineage_IIc_or,#39970e
660,Lineage_IV,#b8e27d
661,Lokiarchaeia,#683c00
662,Lokiarchaeia_or,#ebb9c7
663,Longimicrobia,#f4327e
664,Longimicrobiales,#8d102b
665,M55-D21,#f76015
666,Magnetobacteriales,#bf711e
667,Magnetococcales,#eac328
668,Magnetococcia,#1f3e9e
669,Margulisbacteria,#7b7ec0
670,Margulisbacteria_cl,#aedbf0
671,Margulisbacteria_or,#8d30ba
672,Marine_Benthic_Group_A,#d179f8
