taxa,colors
Proteobacteria_cl,#404E55
Proteobacteria_or,#0089A3
Proteobacteria_unclassified,#CB7E98
PS-B29,#A4E804
Pseudanabaenales,#324E72
Pseudomonadales,#6A3A4C
Pseudonocardiales,#83AB58
Puniceispirillales,#001C1E
Pyrinomonadales,#D1F7CE
R7C24,#004B28
RBG-13-46-9,#C8D0F6
RBG-13-54-9,#A3A489
RBG-16-55-12,#806C66
RBG-16-55-12_or,#222800
RCP2-54,#BF5650
RCP2-54_cl,#E83000
RCP2-54_or,#66796D
RD017,#DA007C
Reyranellales,#FF1A59
RF39,#8ADBB4
Rhizobiales,#1E0200
Rhodobacterales,#5B4E51
Rhodospirillales,#C895C5
Rhodothermales,#320033
Rhodothermia,#FF6832
Rhodovibrionales,#66E1D3
Rickettsiales,#CFCDAC
Rokubacteria,#D0AC94
Rokubacteriales,#7ED379
Rs-K70_termite_group,#012C58
Rs-K70_termite_group_cl,#7A7BFF
Rs-K70_termite_group_or,#D68E01
Rs-M47,#353339
Rs-M47_or,#78AFA1
RsaHf231,#FEB2C6
RsaHf231_cl,#75797C
RsaHf231_or,#837393
Rubrobacterales,#943A4D
Rubrobacteria,#B5F4FF
Run-SP154,#D2DCD5
S0134_terrestrial_group,#9556BD
S0134_terrestrial_group_or,#6A714A
S085,#001325
S-70,#02525F
S-BQ2-57_soil_group,#0AA3F7
Saccharimonadales,#E98176
Saccharimonadia,#DBD5DD
Salinisphaerales,#5EBCD1
SAR11_clade,#3D4F44
SAR86_clade,#7E6405
SAR202_clade,#02684E
SAR324_clade(Marine_group_B),#962B75
SAR324_clade(Marine_group_B)_cl,#8D8546
SAR324_clade(Marine_group_B)_or,#9695C5
SBR1031,#E773CE
SCGC_AB-179-E04,#D86A78
Schekmanbacteria,#3E89BE
Schekmanbacteria_cl,#CA834E
Schekmanbacteria_or,#518A87
sediment-surface35,#5B113C
Selenomonadales,#55813B
SepB-3,#E704C4
Sericytochromatia,#00005F
Sericytochromatia_or,#A97399
SG8-5,#4B8160
Sh765B-AG-111,#59738A
Sh765B-TzT-20,#FF5DA7
SHA-26,#F7C9BF
SHA-26_or,#643127
Silva Class,#513A01
Silva Order,#6B94AA
Silvanigrellales,#51A058
SJA-15,#A45B02
SJA-28,#1D1702
SL56_marine_group,#E20027
SL56_marine_group_or,#E7AB63
SM1A07,#4C6001
SM23-32,#9C6966
Sneathiellales,#64547B
Solibacterales,#97979E
Solirubrobacterales,#006A66
SPG12-461-471-B8,#391406
Sphingobacteriales,#F4D749
Sphingomonadales,#0045D2
Spirochaetales,#006C31
Spirochaetes,#DDB6D0
Spirochaetia,#7C6571
Spirochaetota,#9FB2A4
Spirochaetota_cl,#00D891
Spirochaetota_or,#15A08A
SS1-B-02-17,#BC65E9
SS1-B-04-55,#FFFFFE
SS1-B-07-19,#C6DC99
SS1-B-09-64,#203B3C
Staphylococcales,#671190
Steroidobacterales,#6B3A64
Streptomycetales,#F5E1FF
Streptosporangiales,#FFA0F2
Subgroup_2,#CCAA35
Subgroup_5,#374527
Subgroup_5_or,#8BB400
Subgroup_6,#797868
Subgroup_6_or,#C6005A
Subgroup_6_unclassified,#3B000A
Subgroup_7,#C86240
Subgroup_9,#29607C
Subgroup_9_or,#402334
Subgroup_11,#7D5A44
Subgroup_11_or,#CCB87C
Subgroup_12,#B88183
Subgroup_13,#AA5199
Subgroup_15,#B5D6C3
Subgroup_15_or,#A38469
Subgroup_17,#9F94F0
Subgroup_17_or,#A74571
Subgroup_18,#B894A6
Subgroup_18_or,#71BB8C
Subgroup_19,#00B433
Subgroup_19_or,#789EC9
Subgroup_20,#6D80BA
Subgroup_20_or,#953F00
Subgroup_21,#5EFF03
Subgroup_21_or,#E4FFFC
Subgroup_22,#1BE177
Subgroup_22_or,#BCB1E5
Subgroup_25,#76912F
Subgroup_25_or,#003109
Subgroup_26,#0060CD
Subgroup_26_or,#D20096
Sulfobacillales,#895563
Sulfobacillia,#29201D
Sulfolobales,#5B3213
Sumerlaeales,#A76F42
Sumerlaeia,#89412E
Sumerlaeota,#1A3A2A
Sva0485,#494B5A
Sva0485_cl,#A88C85
Sva0485_or,#F4ABAA
Symbiobacteriales,#A3F3AB
Symbiobacteriia,#00C6C8
Synechococcales,#EA8B66
Synergistales,#958A9F
Synergistetes,#BDC9D2
Synergistia,#9FA064
Synergistota,#BE4700
Syntrophales,#658188
Syntrophia,#83A485
Syntrophobacterales,#453C23
Syntrophobacteria,#47675D
Syntrophomonadales,#3A3F00
Syntrophomonadia,#061203
Syntrophorhabdales,#DFFB71
Syntrophorhabdia,#868E7E
SZB30,#98D058
SZB50,#6C8F7D
t0.6.f,#D7BFC2
TA06,#3C3E6E
TA06_cl,#D83D66
TA06_or,#2F5D9B
TDNP-Wbc97-11-7-16,#6C5E46
Tenderiales,#D25B88
Tenericutes,#5B656C
Tepidisphaerales,#00B57F
Thalassobaculales,#545C46
Thaumarchaeota,#866097
Thermacetogenia,#365D25
Thermacetogeniales,#252F99
Thermaerobacterales,#00CCFF
Thermaerobacteria,#674E60
Thermales,#FC009C
Thermicanales,#92896B
Thermincolales,#000000
Thermincolia,#FFFF00
Thermoactinomycetales,#1CE6FF
Thermoanaerobacterales,#FF34FF
Thermoanaerobacteria,#FF4A46
Thermoanaerobaculales,#008941
Thermoanaerobaculia,#006FA6
Thermobaculales,#A30059
Thermococcales,#FFDBE5
Thermococci,#7A4900
Thermodesulfobacteria,#0000A6
Thermodesulfobacteriales,#63FFAC
Thermodesulfobiales,#B79762
Thermodesulfobiia,#004D43
Thermodesulfobiota,#8FB0FF
Thermodesulfovibrionales,#997D87
Thermodesulfovibrionia,#5A0007
Thermoflexales,#809693
Thermoleophilia,#FEFFE6
Thermolithobacterales,#1B4400
Thermomicrobiales,#4FC601
Thermophilales,#3B5DFF
Thermoplasmata,#4A3B53
Thermoplasmata_or,#FF2F80
Thermoplasmata_unclassified,#61615A
Thermoplasmatales,#BA0900
Thermoplasmatota,#6B7900
Thermoplasmatota_cl,#00C2A0
Thermoplasmatota_or,#FFAA92
Thermoplasmatota_unclassified,#FF90C9
Thermoproteales,#B903AA
Thermoprotei,#D16100
Thermosulfidibacterales,#DDEFFF
Thermosulfidibacteria,#000035
Thermosulfidibacterota,#7B4F4B
Thermosynechococcales,#A1C299
Thermotogae,#300018
Thermotogae_or,#0AA6D8
Thermotogales,#013349
Thermotogota,#00846F
Thermovenabulales,#372101
Thermovenabulia,#FFB500
Thiohalorhabdales,#C2FFED
Thiomicrospirales,#A079BF
Thiotrichales,#CC0744
Tistrellales,#C0B9B2
TK10,#C2FF99
TK10_or,#001E09
TK17,#00489C
TK17_or,#6F0062
TSAC18,#0CBD66
TSAC18_or,#EEC3FF
TSBb06,#456D75
TTA-B61,#B77B68
TTA-B61_or,#7A87A1
UA11,#788D66
UASB-TL25,#885578
UBA4486,#FAD09F
UBA9983,#FF8A9A
UBA10353_marine_group,#D157A0
uncultured,#BEC459
uncultured_cl,#456648
uncultured_or,#0086ED
Unknown_Order,#886F4C
V2072-189E03,#34362D
V2072-189E03_or,#B4A8BD
vadinBA26,#00A6AA
vadinHA49,#452C2C
vadinHA49_or,#636375
Vampirivibrionia,#A3C8C9
Vampirovibrionales,#FF913F
Veillonellales-Selenomonadales,#938A81
Verrucomicrobia,#575329
Verrucomicrobiae,#00FECF
Verrucomicrobiae_unclassified,#B05B6F
Verrucomicrobiales,#8CD0FF
Verrucomicrobiota,#3B9700
Verrucomicrobiota_unclassified,#04F757
VHS-B3-70,#C8A1A1
VHS-B4-70,#1E6E00
Vibrionales,#7900D7
Vicinamibacterales,#A77500
Vicinamibacteria,#6367A9
Victivallales,#A05837
WCHB1-41,#6B002C
WCHB1-81,#772600
WCHB1-81_or,#D790FF
WD260,#9B9700
WN-HWB-116,#549E79
Woesearchaeales,#FFF69F
Woesearchaeia,#201625
Woesearchaeia_or,#72418F
WOR-1,#BC23FF
WOR-1_cl,#99ADC0
WOR-1_or,#3A2465
WPS-2,#922329
WPS-2_cl,#5B4534
WPS-2_or,#FDE8DC
WS1,#404E55
WS1_cl,#0089A3
WS1_or,#CB7E98
WS2,#A4E804
WS2_cl,#324E72
WS2_or,#6A3A4C
WS4,#83AB58
WS4_cl,#001C1E
WS4_or,#D1F7CE
WWE3,#004B28
WWE3_or,#C8D0F6
Xanthomonadales,#A3A489
YNPFFP2,#806C66
YNPFFP2_or,#222800
Zavarziniales,#BF5650
Zetaproteobacteria,#E83000
Zixibacteria,#66796D
Zixibacteria_cl,#DA007C
Zixibacteria_or,#FF1A59
