taxa,colors
Calescibacteriia,#00B433
Campylobacterales,#789EC9
Campylobacteria,#6D80BA
Campylobacterota,#953F00
Candidatus_Abawacabacteria,#5EFF03
Candidatus_Adlerbacteria,#E4FFFC
Candidatus_Amesbacteria,#1BE177
Candidatus_Azambacteria,#BCB1E5
Candidatus_Beckwithbacteria,#76912F
Candidatus_Brennerbacteria,#003109
Candidatus_Buchananbacteria,#0060CD
Candidatus_Campbellbacteria,#D20096
Candidatus_Chisholmbacteria,#895563
Candidatus_Collierbacteria,#29201D
Candidatus_Colwellbacteria,#5B3213
Candidatus_Curtissbacteria,#A76F42
Candidatus_Daviesbacteria,#89412E
Candidatus_Doudnabacteria,#1A3A2A
Candidatus_Falkowbacteria,#494B5A
Candidatus_Giovannonibacteria,#A88C85
Candidatus_Gottesmanbacteria,#F4ABAA
Candidatus_Jacksonbacteria,#A3F3AB
Candidatus_Jorgensenbacteria,#00C6C8
Candidatus_Kaiserbacteria,#EA8B66
Candidatus_Kerfeldbacteria,#958A9F
Candidatus_Komeilibacteria,#BDC9D2
Candidatus_Kuenenbacteria,#9FA064
Candidatus_Levybacteria,#BE4700
Candidatus_Liptonbacteria,#658188
Candidatus_Lloydbacteria,#83A485
Candidatus_Magasanikbacteria,#453C23
Candidatus_Moranbacteria,#47675D
Candidatus_Nealsonbacteria,#3A3F00
Candidatus_Nomurabacteria,#061203
Candidatus_Pacebacteria,#DFFB71
Candidatus_Peregrinibacteria,#868E7E
Candidatus_Peribacteria,#98D058
Candidatus_Portnoybacteria,#6C8F7D
Candidatus_Roizmanbacteria,#D7BFC2
Candidatus_Ryanbacteria,#3C3E6E
Candidatus_Shapirobacteria,#D83D66
Candidatus_Spechtbacteria,#2F5D9B
Candidatus_Staskawiczbacteria,#6C5E46
Candidatus_Terrybacteria,#D25B88
Candidatus_Uhrbacteria,#5B656C
Candidatus_Vogelbacteria,#00B57F
Candidatus_Woesebacteria,#545C46
Candidatus_Wolfebacteria,#866097
Candidatus_Woykebacteria,#365D25
Candidatus_Yanofskybacteria,#252F99
Candidatus_Yonathbacteria,#00CCFF
Candidatus_Zambryskibacteria,#674E60
Carboxydocellales,#FC009C
Carboxydothermales,#92896B
Cardiobacteriales,#000000
Catenulisporales,#FFFF00
Caulobacterales,#1CE6FF
CCD24,#FF34FF
CCM11a,#FF4A46
CCM19a,#008941
Cellvibrionales,#006FA6
CG1-02-42-13,#A30059
CG2-30-50-142,#FFDBE5
